No.,Status Sertifikat,Penggunaan,Kategori Luas,Jenis Nadzir,Kelurahan
88,SUDAH,MUSHOLLAH,KECIL,Perorangan,Medono
89,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Medono
90,BELUM,PENDIDIKAN,SEDANG,Badan Hukum,Pringrejo
91,BELUM,PENDIDIKAN,SEDANG,Badan Hukum,Pringrejo
92,SUDAH,SOSIAL & KESEHATAN,BESAR,Perorangan,Medono
93,SUDAH,MASJID,SEDANG,Perorangan,Bendan Kergon
94,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Medono
95,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Pringrejo
96,SUDAH,PENDIDIKAN,KECIL,Perorangan,Pasirkratonkramat
97,SUDAH,PENDIDIKAN,BESAR,Badan Hukum,Medono
98,SUDAH,MASJID,KECIL,Perorangan,Podosugih
99,SUDAH,PENDIDIKAN,KECIL,Organisasi,Pasirkratonkramat
100,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Pasirkratonkramat
101,SUDAH,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
102,BELUM,MAKAM,BESAR,Perorangan,Sapuro Kebulen
103,SUDAH,PENDIDIKAN,KECIL,Perorangan,Pasirkratonkramat
104,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Tirto
105,SUDAH,MUSHOLLAH,KECIL,Perorangan,Tirto
106,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Pasirkratonkramat
107,SUDAH,MASJID,SEDANG,Organisasi,Medono
108,BELUM,PENDIDIKAN,KECIL,Perorangan,Medono
109,BELUM,MAKAM,BESAR,Perorangan,Sapuro Kebulen
110,SUDAH,MUSHOLLAH,KECIL,Perorangan,Medono
111,SUDAH,SOSIAL & KESEHATAN,KECIL,Perorangan,Medono
112,SUDAH,MASJID,KECIL,Organisasi,Podosugih
113,SUDAH,MASJID,KECIL,Organisasi,Podosugih
114,BELUM,MUSHOLLAH,KECIL,Perorangan,Sapuro Kebulen
115,SUDAH,MUSHOLLAH,KECIL,Perorangan,Sapuro Kebulen
116,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Pringrejo
117,BELUM,PENDIDIKAN,SEDANG,Badan Hukum,Tirto
118,SUDAH,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
119,SUDAH,MUSHOLLAH,KECIL,Perorangan,Pringrejo
120,SUDAH,PENDIDIKAN,KECIL,Perorangan,Pringrejo
121,SUDAH,MUSHOLLAH,KECIL,Perorangan,Sapuro Kebulen
122,SUDAH,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
123,SUDAH,MUSHOLLAH,KECIL,Perorangan,Medono
124,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Pringrejo
125,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Sapuro Kebulen
126,SUDAH,MUSHOLLAH,KECIL,Perorangan,Pringrejo
127,BELUM,MUSHOLLAH,KECIL,Perorangan,Medono
128,SUDAH,MUSHOLLAH,KECIL,Perorangan,Medono
129,SUDAH,MUSHOLLAH,KECIL,Perorangan,Medono
130,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Pringrejo
131,SUDAH,PENDIDIKAN,KECIL,Perorangan,Pringrejo
132,SUDAH,MASJID,SEDANG,Badan Hukum,Podosugih
133,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Pasirkratonkramat
134,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Pasirkratonkramat
135,BELUM,MUSHOLLAH,KECIL,Perorangan,Medono
136,BELUM,PENDIDIKAN,SEDANG,Badan Hukum,Bendan Kergon
137,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Bendan Kergon
138,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Sapuro Kebulen
139,SUDAH,SOSIAL & KESEHATAN,SEDANG,Badan Hukum,Medono
140,SUDAH,MASJID,SEDANG,Badan Hukum,Medono
141,SUDAH,PENDIDIKAN,KECIL,Perorangan,Tirto
142,SUDAH,PENDIDIKAN,KECIL,Perorangan,Tirto
143,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Medono
144,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Medono
145,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Medono
146,SUDAH,MASJID,KECIL,Organisasi,Tirto
147,SUDAH,MASJID,SEDANG,Perorangan,Tirto
148,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Pringrejo
149,BELUM,MASJID,SEDANG,Badan Hukum,Tirto
150,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Medono
151,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Medono
152,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Medono
153,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Sapuro Kebulen
154,SUDAH,MUSHOLLAH,KECIL,Perorangan,Tirto
155,SUDAH,MASJID,KECIL,Perorangan,Medono
156,SUDAH,SOSIAL & KESEHATAN,SEDANG,Badan Hukum,Bendan Kergon
157,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Medono
158,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Medono
159,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Medono
160,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Pasirkratonkramat
161,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Pasirkratonkramat
162,BELUM,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
163,SUDAH,MUSHOLLAH,KECIL,Organisasi,Tirto
164,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Medono
165,SUDAH,MASJID,SEDANG,Perorangan,Medono
166,SUDAH,MASJID,SEDANG,Perorangan,Medono
167,SUDAH,MASJID,SEDANG,Perorangan,Pringrejo
168,SUDAH,PENDIDIKAN,KECIL,Perorangan,Tirto
169,BELUM,PENDIDIKAN,KECIL,Perorangan,Pringrejo
170,SUDAH,PENDIDIKAN,SEDANG,Organisasi,Medono
171,SUDAH,PENDIDIKAN,KECIL,Organisasi,Medono
172,SUDAH,PENDIDIKAN,KECIL,Organisasi,Medono
173,SUDAH,PENDIDIKAN,SEDANG,Organisasi,Pringrejo
174,SUDAH,SOSIAL & KESEHATAN,SEDANG,Organisasi,Podosugih
175,BELUM,PENDIDIKAN,KECIL,Badan Hukum,Bendan Kergon
176,BELUM,MASJID,SEDANG,Badan Hukum,Bendan Kergon
177,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Medono
178,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Medono
179,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Medono
180,BELUM,PENDIDIKAN,KECIL,Perorangan,Pringrejo
181,SUDAH,MUSHOLLAH,KECIL,Perorangan,Sapuro Kebulen
182,SUDAH,MUSHOLLAH,KECIL,Perorangan,Podosugih
183,BELUM,MUSHOLLAH,SEDANG,Perorangan,Medono
184,SUDAH,MUSHOLLAH,KECIL,Badan Hukum,Pasirkratonkramat
185,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Bendan Kergon
186,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Bendan Kergon
187,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Medono
188,SUDAH,MASJID,SEDANG,Badan Hukum,Medono
189,SUDAH,MASJID,KECIL,Badan Hukum,Medono
190,SUDAH,MASJID,KECIL,Badan Hukum,Medono
191,SUDAH,MUSHOLLAH,KECIL,Badan Hukum,Pasirkratonkramat
192,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Bendan Kergon
193,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Bendan Kergon
194,SUDAH,MUSHOLLAH,KECIL,Perorangan,Bendan Kergon
195,SUDAH,MUSHOLLAH,KECIL,Perorangan,Pasirkratonkramat
196,SUDAH,PENDIDIKAN,KECIL,Perorangan,Tirto
197,SUDAH,SOSIAL & KESEHATAN,KECIL,Badan Hukum,Medono
198,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Medono
199,SUDAH,MUSHOLLAH,KECIL,Badan Hukum,Pasirkratonkramat
200,SUDAH,SOSIAL & KESEHATAN,SEDANG,Badan Hukum,Medono
201,SUDAH,SOSIAL & KESEHATAN,SEDANG,Badan Hukum,Medono
202,SUDAH,SOSIAL & KESEHATAN,BESAR,Badan Hukum,Medono
203,SUDAH,MASJID,KECIL,Badan Hukum,Tirto
204,SUDAH,MASJID,SEDANG,Badan Hukum,Tirto
205,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Pasirkratonkramat
206,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Pasirkratonkramat
207,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Bendan Kergon
208,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Tirto
209,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Tirto
210,SUDAH,PENDIDIKAN,BESAR,Perorangan,Tirto
211,BELUM,PENDIDIKAN,SEDANG,Perorangan,Tirto
212,SUDAH,MASJID,SEDANG,Perorangan,Tirto
213,SUDAH,MASJID,SEDANG,Perorangan,Tirto
214,SUDAH,SOSIAL & KESEHATAN,KECIL,Badan Hukum,Podosugih
215,SUDAH,MUSHOLLAH,KECIL,Badan Hukum,Pasirkratonkramat
216,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Pringrejo
217,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Sapuro Kebulen
218,SUDAH,SOSIAL & KESEHATAN,KECIL,Badan Hukum,Pringrejo
219,SUDAH,SOSIAL & KESEHATAN,KECIL,Badan Hukum,Pringrejo
220,SUDAH,PENDIDIKAN,KECIL,Badan Hukum,Podosugih
221,SUDAH,MUSHOLLAH,KECIL,Perorangan,Medono
222,BELUM,MUSHOLLAH,KECIL,Perorangan,Medono
223,SUDAH,PENDIDIKAN,SEDANG,Badan Hukum,Tirto
224,BELUM,MASJID,BESAR,Perorangan,Medono
225,SUDAH,MASJID,SEDANG,Perorangan,Medono
226,SUDAH,MUSHOLLAH,SEDANG,Perorangan,Sapuro Kebulen
227,SUDAH,MASJID,KECIL,Perorangan,Medono
228,SUDAH,MUSHOLLAH,KECIL,Perorangan,Sapuro Kebulen
229,BELUM,PENDIDIKAN,SEDANG,Perorangan,Podosugih
230,SUDAH,PENDIDIKAN,SEDANG,Perorangan,Medono
231,BELUM,PENDIDIKAN,SEDANG,Perorangan,Sapuro Kebulen
